Image, Reference,Address,postal_code,city,state,square_meters,rooms,bathrooms,type,description,price,is_available,energy_rating
https://picsum.photos/id/1065/600/400,ab123,longbeath California,123LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab124,longbeath California,124LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab125,longbeath California,125LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab126,longbeath California,126LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab127,longbeath California,127LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab128,longbeath California,128LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab129,longbeath California,129LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab130,longbeath California,130LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab131,longbeath California,131LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab132,longbeath California,132LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
https://picsum.photos/id/1065/600/400,ab133,longbeath California,133LGB,Long Beach,Californai,200,5,2,villa,beautiful villa with ocean view,1000000,1,a+++
